System Time;q1 (STS B);q2 (STS B);q3 (STS B);q0 (STS B);time STS B
2018/10/09 01:50:46.800;0.6076141;-0.3446909;0.6546417;0.2888558;1538934536
2018/10/09 01:50:47.100;0.6076195;-0.344687;0.6546379;0.2888578;1538934786
2018/10/09 01:50:47.400;0.6076458;-0.3446721;0.6546129;0.288877;1538935036
2018/10/09 01:50:47.600;0.6076207;-0.3446818;0.6546378;0.2888618;1538935286
2018/10/09 01:50:47.900;0.6075941;-0.3447047;0.6546574;0.2888459;1538935536
2018/10/09 01:50:48.200;0.6075755;-0.3447107;0.6546739;0.2888404;1538936036
2018/10/09 01:50:48.400;0.6075808;-0.3447069;0.654668;0.2888472;1538936286
2018/10/09 01:50:48.700;0.6075757;-0.3447147;0.6546724;0.2888391;1538936536
2018/10/09 01:50:49.000;0.6075791;-0.3447101;0.6546691;0.2888446;1538936786
2018/10/09 01:50:49.300;0.6075914;-0.3446983;0.6546597;0.2888543;1538937036
2018/10/09 01:50:49.500;0.6076075;-0.3446911;0.6546437;0.2888649;1538937286
2018/10/09 01:50:49.800;0.6076127;-0.3446884;0.6546372;0.2888719;1538937536
2018/10/09 01:50:50.100;0.6075959;-0.3446974;0.6546513;0.2888647;1538937787
2018/10/09 01:50:50.300;0.6075838;-0.3447042;0.6546614;0.2888593;1538938037
2018/10/09 01:50:50.600;0.6075801;-0.3447092;0.6546661;0.2888506;1538938287
2018/10/09 01:50:50.900;0.6075773;-0.3447127;0.6546657;0.2888529;1538938537
2018/10/09 01:50:51.100;0.6076028;-0.3446923;0.6546444;0.2888719;1538938787
2018/10/09 01:50:51.400;0.6075737;-0.3447143;0.6546674;0.2888548;1538939037
2018/10/09 01:50:51.700;0.6075634;-0.344717;0.6546763;0.2888529;1538939537
2018/10/09 01:50:52.000;0.6075838;-0.3447036;0.6546613;0.2888604;1538939787
2018/10/09 01:50:52.200;0.6075726;-0.3447109;0.6546675;0.2888609;1538940037
2018/10/09 01:50:52.500;0.6075594;-0.3447211;0.6546797;0.2888493;1538940287
2018/10/09 01:50:52.800;0.6075765;-0.3447058;0.6546646;0.2888654;1538940537
2018/10/09 01:50:53.000;0.6075658;-0.3447139;0.6546735;0.2888582;1538940787
2018/10/09 01:50:53.300;0.607551;-0.3447248;0.6546857;0.2888484;1538941037
2018/10/09 01:50:53.600;0.6075617;-0.3447139;0.6546786;0.2888553;1538941287
2018/10/09 01:50:53.800;0.6075615;-0.3447113;0.6546781;0.2888595;1538941537
2018/10/09 01:50:54.100;0.6075523;-0.3447171;0.6546865;0.2888532;1538941787
2018/10/09 01:50:54.400;0.6075737;-0.3446987;0.6546712;0.2888647;1538942037
2018/10/09 01:50:54.700;0.6075616;-0.3447015;0.6546803;0.2888661;1538942287
2018/10/09 01:50:54.900;0.6075564;-0.344701;0.6546872;0.2888624;1538942788
2018/10/09 01:50:55.200;0.60756;-0.3446971;0.6546847;0.2888648;1538943038
2018/10/09 01:50:55.500;0.607572;-0.3446889;0.6546777;0.2888654;1538943288
